 ,,Google Drive Link: https://drive.google.com/drive/folders/1nSiw3mkP1B4IReRq980WTEhf6HkPFSeb?usp=share_link,,,,,,,,,,,,,,,,,,,
Name,Photo Link,References: https://www.businessinsider.com/january-6-committee-hearings-witnesses-marc-short-jeff-rosen-2022-6#jason-van-tatenhove-former-oath-keepers-spokesman-21,,,,,,,,,,,,,,,,,,,
Dr. Christopher Rodriguez,https://drive.google.com/file/d/1Wo9pFCU6HsBNFokk2HQiEvn7tvTiwLo7/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Dustin Stockton,https://drive.google.com/file/d/1XYxRz_GfBIEnnBsis6UAfuafg8lFEzsV/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Dustin Thompson,https://drive.google.com/file/d/1Ev7Qj4fiQmmKhsNQwVGx0i2BD-2qseNt/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Ed Martin,https://drive.google.com/file/d/1u1tK5BGG8QJhkqca8aBIAe5rbFPlRV-Z/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Edward Durfee,https://drive.google.com/file/d/1k3_w91s6l3VIMA5RLTG1EdxrWvEHyhC1/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Elaine Chao,https://drive.google.com/file/d/1E3KCYz6D-ow-jsvwQuOv5YPiQJJH3oFJ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Elmer Stewart Rhodes,https://drive.google.com/file/d/1pHqchUNpjh5zkEpkUDYnU34PtKUMDV89/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Enrique Alejandro de la Torre,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Eric Barber,https://drive.google.com/file/d/1kBL-49Vzi4JiMsZiIfrnHk6mA1KwYvuX/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Eric Herschmann,https://drive.google.com/file/d/1MtIWXoeYqakIQA4n4Z1RoFI5OnBMmdXU/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Eugene Scalia,https://drive.google.com/file/d/10KuPsV-Pm9FQAJ8KbDwqPGZpyx1z78XL/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Frances Haugen,https://drive.google.com/file/d/10M0_qn49IpBFrkQLcxxtdkQRnnFj9egz/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Francis Connor,https://drive.google.com/file/d/1hdlzW6lWn4-sC62OL-OMFKxyTj4HXmMp/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Frank J. Scavo III,https://drive.google.com/file/d/10WgVw3tUFAYwfceUZj1gE4yog9nFQ9XQ/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Frank Marchisella,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Garrett M. Ziegler,https://drive.google.com/file/d/1w389889svt3bVGAahx9bJEtztJXh1RhD/view?usp=share_link, ,,,,,,,,,,,,,,,,,,,
Gary Coby,https://drive.google.com/file/d/1K5cEdRiu4T_rFg_-SqAEfme5wXQmiJoK/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
General Charles Anthony Flynn,https://drive.google.com/file/d/1eeT7-awnogT2sZOyb-uPHJ5kh_MtHZmy/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
General James Charles McConville,https://drive.google.com/file/d/1imYecoGubzTQGwYefxMI9aqU8MRdOAFM/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
General Mark. A. Milley,https://drive.google.com/file/d/1covsheBxlv8s7cvNUBWDfH9L5i0f3ojc/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
General Walter Piatt,https://drive.google.com/file/d/1ni8QSD72B31T5OU_v0LWgVQ7uw2_Xm7G/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
George Amos Tenney III,https://drive.google.com/file/d/1Uk6p31hjHxmJuPt-t3MenJ9wRMm5PUay/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
George Douglas Smith Jr.,https://drive.google.com/file/d/12rL2cutPm308XjSSdUJccUGuoFW-CXTb/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
George Meza,https://drive.google.com/file/d/1PWvrx9SHRQkMeTBBfhiz5G3KDHt5IO2t/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Greg Jacob,https://drive.google.com/file/d/1JNvf18i5ZDcekBDmyi3mK_89uq9voodk/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Greg Rubenacker,ONLY PHOTO IS IN CAPITOL - SMOKING,,,,,,,,,,,,,,,,,,,,
Hanna Allred,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
Heidi Stirrup,https://drive.google.com/file/d/1zKUp0PwRFllWa8oP88znaIx0sjALkAKz/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Henry Tarrio,https://drive.google.com/file/d/1rmDo88LuksFZBqeCrBVQDR9b9kw6lH0b/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Hope Hicks,https://drive.google.com/file/d/18-1p0A0uwtnP8FbsD8FmXX9UfifvBSya/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Ian Northon,https://drive.google.com/file/d/1aCE4cWVfFuDhvvILRWRS6xhnf1xqvCi8/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Ivanka Trump,https://drive.google.com/file/d/1m0VEXTMe9SVdPHCqFUXhem9i2rwu5BtG/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
J. Doe,ANON  ,,,,,,,,,,,,,,,,,,,,
J. Johnson,CANNOT LOCATE - TWITTER EMPLOYEE,,,,,,,,,,,,,,,,,,,,
J. Smith,ANON ,,,,,,,,,,,,,,,,,,,,
Jacqueline Shay Kotkiewicz,https://drive.google.com/file/d/1Kt7JHCtTqrgyQzCMZfOP3MdmorSO98oI/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
James DeGraffenreid,https://drive.google.com/file/d/173KYEK0xtobKhDrVv3pEsiFJgvz6h3mh/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
James Douglas Rahm III,https://drive.google.com/file/d/1NtPGPms9ijU-300MpXKf_WlrbTC22NGN/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
James P. Waldron,https://drive.google.com/file/d/1xy2decs-t3INrwTpKCSzMYT11TlIEFJU/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
James Watkins,https://drive.google.com/file/d/1bNijvsFwYZTMwc2VnHcIUAd4dk8b0uNA/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jamie Fleet,https://drive.google.com/file/d/1jQRcDZ9DuKVn-8ZM1Kb9Uy8dNKO7rAd4/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Janet West Buhler,https://drive.google.com/file/d/1tRQoBSrSBJYVtar7hu3YBhJlWHs04-m5/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jared Kushner,https://drive.google.com/file/d/1uAbPsEPuj8Tk84Cmzz0HmsNFNWLHmGnF/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jason Funes,https://drive.google.com/file/d/1gX8nwmgk-aS40urWIIVBtdUsBuAqNtxa/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jason Miller,https://drive.google.com/file/d/1JQglQnP8cMKFFYQIJTyA6WqmsG5fulME/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jason Sullivan,https://drive.google.com/file/d/1Fwuisqo_mkaLiEBP_ZmN5B5TlNSPGtEZ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jason Van Tatenhove,https://drive.google.com/file/d/1-tL7oEElAukHZXoPSJrErXA4dyGZanQC/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jay Thaxton,https://drive.google.com/file/d/179QsOfGP3YxgK5UNZT4Zag0HSmDXETCh/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jean Lavin,https://drive.google.com/file/d/1sOAUEMTsg1YjuBgFM-F69W1v0u7wK72Q/view?usp=share_link, ,,,,,,,,,,,,,,,,,,,
Jeffrey Clark,https://drive.google.com/file/d/1NQLmUz6HZ0sJRd6dMvE-DIvqaAWnrBkt/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Jeffrey Lawrence Morelock,CANNOT LOCATE,,,,,,,,,,,,,,,,,,,,
